,Name,PubChem CID,Observed logFM,Predicted logFM,SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,Oxychlordane,33772,-1.02,-0.8,C12C(C(C3(C1O3)Cl)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl,6.653356481481481,-1.5794444444444444,6.653356481481481,0.1428703703703711,0.3935978551784122,423.7649999999999,419.73299999999983,419.777036188,106,0,0.18468105132789045,-0.3473732952782383,0.3473732952782383,0.18468105132789045,0.8421052631578947,1.3157894736842106,1.8421052631578947,2.0047060661844776,519.6477418757856,14.171208396324303,8.741365151296183,14.788796719443823,8.559236629528225,5.385620489774986,8.467807581311565,5.315410948292055,9.651995474257525,4.7068054205461385,10.245912046579742,3.792040829750027,7.798272422526824,2.02,23946.912841996957,14.60208431635863,3.573338158014967,1.1550998482516102,148.8504774556581,4.736862953800049,15.852310970630521,9.393586746513458,0.0,0.0,0.0,0.0,0.0,0.0,34.802819670697545,58.00469945116258,0.0,11.835812092322787,15.44166057243292,4.736862953800049,92.80751912186011,0.0,0.0,11.835812092322787,30.622985585349703,0.0,10.064572704227194,0.0,0.0,0.0,0.0,0.0,92.80751912186011,30.622985585349703,4.736862953800049,11.835812092322787,0.0,10.064572704227194,0.0,0.0,0.0,12.53,30.436925243762794,0.0,0.0,22.08644513813689,0.0,0.0,0.0,0.0,0.0,0.0,97.54438207566017,3.8755916162761403,51.33351332199546,-2.6960648148148145,-1.2921450617283936,0.0,-0.7858796296296304,0.0,-0.37945987654321023,0.0,0.0,0.8,19,0,1,3,1,4,0,0,0,1,0,9,0,2,1,3,4,5.0192000000000005,80.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,DDE,3035,-0.98,-0.64,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,5.971501637692113,0.2080045351473927,5.971501637692113,0.2080045351473927,0.6193259253894803,318.03,309.966,315.938010976,92,0,0.11476001938864656,-0.08434373904737016,0.11476001938864656,0.08434373904737016,0.6111111111111112,0.9444444444444444,1.2222222222222223,2.5095731194515962,516.2479162169986,13.120955864630137,9.130660045553915,12.154375829627735,8.575387400469408,5.1486633561102915,6.660521248147201,3.6491968575947955,5.471461462976567,2.4547758466198917,3.33669295030809,1.6179951162543746,2.306407212065846,-0.6600000000000001,12051.94151834261,13.764312840339212,5.9881069763762165,3.211631271815919,125.74184342969666,0.0,4.491468174157927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6692278347765,35.392371257240434,15.61837115755192,0.0,0.0,51.976864090999335,0.0,0.0,0.0,0.0,0.0,74.19457433272746,0.0,0.0,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,11.126902983393991,53.022404721850805,10.045266627482652,5.573104530069267,0.0,0.0,0.0,0.0,0.0,4.491468174157927,10.045266627482652,16.70000751346326,0.0,24.26546827384644,24.26546827384644,0.0,46.40375956093006,0.2080045351473927,23.669487346378876,0.0,1.3331500377928955,2.5649181153943066,0.0,14.668884409730975,0.0,0.0,0.0,0.0,18,0,0,0,0,0,2,0,2,0,0,4,2,0,0,0,2,6.187900000000002,80.63200000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Mifepristone,4196,-0.96,-0.41,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,12.169554587724438,-0.9136036181447889,12.169554587724438,0.22090616339128255,0.6395257442251706,429.60400000000016,394.3240000000002,429.26677936000004,168,0,0.15580410919281665,-0.37766120681062115,0.37766120681062115,0.15580410919281665,1.09375,1.84375,2.53125,1.6691166225706533,1066.6143469067176,22.672997628507925,19.87122510328662,19.87122510328662,15.270805714029754,12.175028102037896,12.175028102037896,10.755530844922424,10.755530844922424,9.030100038878691,9.030100038878691,7.381018208616034,7.381018208616034,-2.3099999999999996,20203271.620464023,21.53125141484778,7.631144053139787,3.1060786587995866,192.13735598643598,10.006437125691184,5.601050810983688,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,5.920434318855644,30.550010185538756,92.2028938251621,37.536448378522124,0.0,9.901064578912528,11.470631221048501,0.0,0.0,17.250802561719567,70.3121826170084,18.99525369620486,52.624253462585116,0.0,11.840868637711289,4.899909730850478,5.687386274683562,0.0,0.0,30.586167117543717,4.794537184071822,29.091671199430856,70.2745832977217,47.06080197088812,0.0,0.0,0.0,40.540000000000006,5.601050810983688,9.901064578912528,0.0,17.11614146192311,18.256633715248796,38.524929737556064,22.39704682651909,5.573104530069267,12.999757306524504,62.025327807453195,0.0,0.0,0.0,14.30194131022412,11.73233644270125,5.7147561067713495,7.758009432671905,8.973095028134711,8.23331815305706,4.14529723278093,4.141246293658673,0.5517241379310345,32,1,3,4,0,4,1,0,1,3,1,3,2,2,0,2,5,5.406500000000007,129.43180000000007,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Atazanavir,148192,-0.89,-0.7,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,13.797318778650155,-1.219772091968611,13.797318778650155,0.11982706952539202,0.15431195958816882,704.8690000000001,652.4530000000003,704.3897480040001,276,0,0.4070235526543356,-0.45287023541171595,0.45287023541171595,0.4070235526543356,0.7254901960784313,1.2745098039215685,1.7843137254901962,1.9550249990830342,1574.2277692726852,37.76900946675572,30.72740544906634,30.72740544906634,24.009607481976897,16.78569693912226,16.78569693912226,14.510544480062187,14.510544480062187,8.20593481071817,8.20593481071817,5.3795451057587576,5.3795451057587576,-5.01,54729404126.64799,40.419775408600145,18.291597116963185,12.676170892886663,300.0258549511556,30.530619114459796,12.083681658295921,0.0,5.907179729351506,5.907179729351506,12.18648014187683,19.998844286201237,14.597986892098174,0.0,0.0,102.20609388275984,40.510439682036775,24.849807875135223,32.05933029429979,33.75840203872809,24.00083960057984,0.0,31.369048254031114,10.82998093879356,78.7374901021745,20.764351488467643,90.1201513765464,0.0,11.257379486545457,21.376157209129378,9.589074368143644,0.0,0.0,84.09409840398212,32.028378304582326,10.82998093879356,52.66932618153773,78.9932483931524,0.0,11.257379486545457,0.0,171.22,59.06030941456558,24.284676131127995,0.0,19.51033443475116,0.0,22.38428246993945,14.219595082555067,31.97696769463948,93.56761642061119,26.360135730076586,9.473725907600098,9.538302770420852,0.0,56.331492292987484,21.5733433624831,4.876714466757629,-1.0346511044542859,19.836083496256204,-0.7783533025131042,10.888067888491163,2.4356667962376237,0.4473684210526316,51,5,13,0,0,0,2,1,3,9,5,13,14,0,0,0,3,4.2116000000000025,193.87659999999948,0,1,1,0,0,1,0,0,0,0,4,4,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Nonachlor,19520,-0.84,-1.0,C12C(C(C(C1Cl)Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,6.625578703703703,-1.607222222222222,6.625578703703703,0.12256172839506241,0.4085181682580131,444.22699999999986,439.1869999999999,439.75879928,108,0,0.16644899819012934,-0.12093837573444575,0.16644899819012934,0.12093837573444575,0.631578947368421,0.9473684210526315,1.263157894736842,2.2939347065697127,447.3919992336559,14.541451884327381,8.788431603031173,15.591792117197269,8.541451884327381,5.282564025591951,8.859658205063273,5.010736211216372,9.798245293209197,4.345542763197258,10.524795121800098,3.472701214485861,8.07852157854867,2.35,16264.469587888798,16.216343556988203,4.456309280641704,1.4667615370990044,155.04602960656214,0.0,9.748344582882218,4.33335411348544,0.0,0.0,0.0,0.0,0.0,0.0,58.00469945116258,46.40375956093006,0.0,11.835812092322787,26.19583630884437,0.0,104.40845901209262,0.0,0.0,11.835812092322787,30.212962300984834,0.0,10.064572704227194,0.0,0.0,0.0,0.0,0.0,104.40845901209262,30.212962300984834,0.0,11.835812092322787,0.0,10.064572704227194,0.0,0.0,0.0,0.0,42.048774393307625,0.0,0.0,10.064572704227194,0.0,0.0,0.0,0.0,0.0,0.0,104.40845901209262,-1.607222222222222,57.42003086419752,-2.76912037037037,-1.3831944444444437,0.0,-0.9104938271604945,0.0,0.0,0.0,0.0,0.8,19,0,0,3,0,3,0,0,0,0,0,9,0,2,0,2,3,5.9001,86.24000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Chlordane,5993,-0.78,-0.85,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,6.6189120370370365,-1.5031944444444445,6.6189120370370365,0.1837962962962969,0.4512924377010626,409.7819999999999,403.7339999999999,405.797771632,102,0,0.16639213708135842,-0.12137493978578001,0.16639213708135842,0.12137493978578001,0.8888888888888888,1.3888888888888888,1.9444444444444444,2.2643842348284595,458.7940325905037,13.671208396324303,8.540223642018866,14.587655210166508,8.113931529398815,5.214176049617018,8.354834448616353,4.954289078731424,9.29447591462998,4.316900465921418,9.791961426781736,3.483641590366997,7.460477664320581,2.06,10895.219690366192,14.974961174872123,4.074683778471499,1.2808607895598967,144.74276337968047,0.0,9.748344582882218,4.33335411348544,0.0,0.0,0.0,0.0,0.0,0.0,46.40375956093006,46.40375956093006,12.338727669087403,5.917906046161393,20.818748440638647,0.0,92.80751912186011,0.0,0.0,11.835812092322787,31.25669605570512,0.0,10.064572704227194,0.0,0.0,0.0,0.0,0.0,92.80751912186011,24.835874432779107,0.0,11.835812092322787,6.4208216229260096,10.064572704227194,0.0,0.0,0.0,0.0,19.458786564573384,0.0,0.0,27.277472664755706,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,92.80751912186011,-1.5031944444444445,51.0059336419753,-2.5047916666666663,-0.2594598765432088,0.0,-0.4884259259259265,0.0,0.555493827160494,0.0,0.0,0.8,18,0,0,3,0,3,0,0,0,0,0,8,0,2,0,2,3,5.6828,81.21600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HCB,8370,-0.7,-0.73,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,5.668765432098764,0.10901234567901286,5.668765432098764,0.10901234567901286,0.42914285873675967,284.784,284.784,281.81311608,66,0,0.08095719062665294,-0.08095719062665294,0.08095719062665294,0.08095719062665294,0.3333333333333333,0.4166666666666667,0.5,3.6035674514745475,226.30309024251744,9.464101615137753,5.267786838055362,9.80336051416609,5.464101615137754,2.6338934190276815,4.901680257083045,1.883893419027681,4.151680257083046,1.1562324237995552,4.004411557112952,0.5781162118997776,2.002205778556476,0.96,416.3143647971509,11.037160493827162,3.9964613932952346,1.7451793639053257,99.25100048078698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.60563934139509,0.0,0.0,30.13579988244796,0.0,69.60563934139509,0.0,0.0,0.0,0.0,0.0,30.13579988244796,0.0,0.0,0.0,0.0,0.0,69.60563934139509,0.0,0.0,0.0,0.0,0.0,30.13579988244796,0.0,0.0,0.0,0.0,0.0,0.0,30.13579988244796,0.0,0.0,0.0,0.0,0.0,0.0,69.60563934139509,0.0,34.01259259259259,0.0,0.6540740740740778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,1,5.606999999999999,56.50200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Flupenthixol,5281881,-0.62,-0.52,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,13.309689211440377,-4.351174753583126,13.309689211440377,0.1833744523812788,0.6349720395702217,434.52700000000016,409.3270000000001,434.16396907999996,160,0,0.41593257163893904,-0.3950445544207227,0.41593257163893904,0.3950445544207227,0.9,1.5666666666666667,2.2666666666666666,1.546976094470944,920.9045022075356,21.139617433688315,16.659438899000804,17.47593547992853,14.45283960607264,10.201096928056453,11.017593508984183,7.620281950927076,8.7040589074139,5.669135723184253,6.820954061415054,4.036793468725947,5.123201934809739,-1.8,6669991.190941506,21.432741617357,9.138914558696841,4.747434258582906,178.73521257142767,10.006437125691184,0.0,0.0,0.0,0.0,6.176298517443475,4.899909730850478,0.0,13.171245143024459,0.0,36.037006261609825,47.386297410235706,49.059505386511,12.170333456209914,18.277772537865165,17.334989479460383,0.0,9.799819461700956,0.0,22.388087091405033,45.875420399988364,65.23094406115614,0.0,0.0,0.0,13.171245143024459,0.0,11.761884949391115,60.78176725653002,6.176298517443475,0.0,23.111176098016994,58.3315565371007,0.0,5.573104530069267,0.0,26.71,11.73975000914047,13.171245143024459,0.0,6.606881964512918,12.10820789760957,60.07212662529069,23.894619086314336,6.06636706846161,24.26546827384644,15.875839568534836,5.106527394840706,39.92906763432113,1.527408903851038,6.568643056746794,9.064938898768194,1.9582245625217938,0.0,11.962775354528704,-1.4745299753014431,5.546804897897122,0.0,0.391304347826087,30,1,3,0,2,2,2,0,2,4,1,7,5,0,1,1,4,4.6017000000000055,113.67080000000006,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Lopinavir,3817,-0.62,-0.7,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,13.824468469754573,-0.9915267017300751,13.824468469754573,0.11744994297403721,0.199874123748593,628.814,580.4300000000004,628.3624706360001,246,0,0.31759486365989026,-0.4832294652830567,0.4832294652830567,0.31759486365989026,0.8913043478260869,1.5,2.0869565217391304,1.5215253926910401,1411.9399871126961,33.053466517131895,27.369472666574463,27.369472666574463,22.117101296127604,16.211387532744798,16.211387532744798,12.539353366502,12.539353366502,8.411735501010686,8.411735501010686,6.1159298989720146,6.1159298989720146,-4.369999999999999,11848943881.176159,34.50215976368346,16.800052215267485,9.813282839260593,272.2754260544931,30.69366589151022,11.791352662431866,6.606881964512918,5.907179729351506,5.907179729351506,6.031114512338072,9.589074368143644,4.794537184071822,0.0,0.0,92.71024628938218,67.70247290403466,19.13135364097311,12.145807216896262,24.227001900856216,17.845473971041084,0.0,20.850275542869472,5.917906046161393,77.60772416565871,19.696394776338067,101.11657785678895,0.0,5.749511833283905,20.68722876581904,4.794537184071822,5.749511833283905,0.0,71.77779474826252,22.43071761399566,19.76538044554264,48.94292361202125,78.86277189000094,0.0,0.0,0.0,120.00000000000001,24.229488875192185,19.490138947056174,0.0,36.7910836046414,31.680667890961075,28.674627589713992,0.0,4.899909730850478,106.55772068876344,15.950365812018994,4.736862953800049,5.900000577767498,0.0,41.32834805570983,20.73501869891124,3.84204284866756,-0.049276027331538574,23.279468434622697,0.8314975711399,8.63289984051281,0.0,0.43243243243243246,46,4,9,0,1,1,3,0,3,5,4,9,15,0,1,1,4,4.328140000000004,179.53589999999951,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Propranolol,4946,-0.59,-0.29,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,9.843953766691861,-0.49873299319727926,9.843953766691861,0.2993329554043842,0.8375057924076361,259.349,238.18099999999995,259.157228912,102,0,0.12675869165350548,-0.49019502312328916,0.49019502312328916,0.12675869165350548,1.105263157894737,1.8421052631578947,2.6315789473684212,1.9779417823071141,519.6427894422644,13.664925939000156,11.465827871043551,11.465827871043551,9.16470379794645,6.685791019114888,6.685791019114888,5.005061210895827,5.005061210895827,2.9425786417040287,2.9425786417040287,1.9381932675812228,1.9381932675812228,-1.5799999999999996,22327.72709286353,13.84252142964087,6.547124220490315,3.9447395719001546,113.76036150292278,15.160178952647085,18.460360185545124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.245676810150904,11.452591282926406,17.97282144952533,0.0,9.843390348640755,10.772448428929591,0.0,5.316788604006331,0.0,25.993281616277514,13.151638370425493,42.46456947923127,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,0.0,30.403972982162465,0.0,0.0,13.847474399381248,42.46456947923127,0.0,10.772448428929591,0.0,41.489999999999995,6.103966387748303,5.106527394840706,0.0,0.0,19.193479199573453,16.521960262213497,0.0,0.0,30.33183534230805,31.296997140310797,4.736862953800049,5.723354119425548,0.0,0.0,15.258388238011253,0.0,0.8210156840513985,14.411528118963636,-0.49873299319727926,4.951113499412111,0.0,0.375,19,2,3,0,0,0,2,0,2,3,2,3,6,0,0,0,2,2.577500000000001,78.58850000000005,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
