,Compound,No.,SMILES,Name,CI-Obs.,CI-Cal.,Test,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
10,Bisheteroypiperazine,11,O=C(N1CCN(C2=NC=CC=C2NCC)CC1)C(N3)=CC4=C3C=CC(OC)=C4,Bisheteroypiperazine,0.72,0.65,0,12.953376594094937,0.030318851305954908,12.953376594094937,0.030318851305954908,0.7130146030103331,379.4640000000001,354.2640000000001,379.20082504,146,0,0.2699239650338918,-0.4967431434786128,0.4967431434786128,0.2699239650338918,1.2142857142857142,2.0357142857142856,2.7857142857142856,1.456498914855546,975.8413245356793,19.509860921691395,16.23512315768772,16.23512315768772,13.690203145651198,9.591813041935687,9.591813041935687,6.820341911620212,6.820341911620212,5.078645221931338,5.078645221931338,3.6219987172197823,3.6219987172197823,-3.2199999999999993,4157685.302277065,18.157686761300997,7.798116736065456,3.473061315897971,163.8572728744661,24.837449540454543,11.443439828132366,5.817862777835028,0.0,5.907179729351506,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,0.0,43.321939610460284,49.823550533257006,12.797183815961095,9.53140013787187,28.315353713951154,0.0,14.867866772744893,0.0,6.923737199690624,50.050277905697214,48.288973977231194,0.0,5.749511833283905,14.953561288656857,11.50524905251859,5.749511833283905,0.0,60.6086260729368,0.0,0.0,17.412202378610907,42.595045982382736,0.0,10.902924932081056,0.0,73.49000000000001,0.0,4.794537184071822,0.0,5.907179729351506,18.78344080667361,47.79195503562128,0.0,7.109797541277533,47.49495571323321,27.108392576441847,4.736862953800049,5.263342694704432,0.0,24.85058290502166,4.334475823905943,2.586826394738553,1.766544235160342,11.638506297964131,1.8119611688826502,5.7731525473006915,1.6412745989882656,0.3333333333333333,28,2,7,0,1,1,1,2,3,5,2,7,5,0,1,1,4,2.965700000000001,111.36790000000003,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Buprenorphine,12,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=CC=C(O)C5=C4[C@@]3(CCN1CC1CC1)[C@H]2O5,Buprenorphine,0.29,0.32,0,12.194759175275049,-0.9086152053413961,12.194759175275049,0.029393424036281646,0.686738022566705,467.6500000000003,426.32200000000023,467.303558792,186,0,0.16524095502214256,-0.5042466597391788,0.5042466597391788,0.16524095502214256,1.1470588235294117,1.911764705882353,2.588235294117647,1.4741729986745256,1056.9457048800473,23.888540578131746,21.48620001324428,21.48620001324428,16.016587629811113,13.553134539386745,13.553134539386745,13.79486419769349,13.79486419769349,11.856819890287959,11.856819890287959,9.580256519994688,9.580256519994688,-1.3,83988563.28399241,21.940390200909402,6.330274445991157,2.250287558095378,203.36547646305274,19.68678069728151,11.70501719873199,11.49902366656781,0.0,0.0,0.0,4.899909730850478,0.0,0.0,0.0,26.83757866753348,81.37696004180205,42.007733252990015,5.601050810983688,19.68678069728151,0.0,0.0,4.899909730850478,22.665793031116344,101.40359946750499,20.199310353102685,23.259637120317212,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,58.6601837124982,16.57267504612284,22.665793031116344,77.34678151971255,12.13273413692322,0.0,0.0,0.0,62.16,11.202101621967376,10.213054789681411,0.0,34.01635567538394,11.791352662431866,44.566770566704015,30.513302635158585,0.0,20.099901809429767,31.73748839838396,9.473725907600098,13.455822494121104,0.0,2.821183390022676,23.157680023041,0.7827245002939447,1.8023116522843705,4.46035013542454,7.63507901651886,10.805137723694724,1.829711064598781,0.7931034482758621,34,2,5,5,2,7,1,0,1,5,2,5,4,4,1,5,8,4.413800000000004,130.19960000000003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Cefoperazone,13,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(CSC4=NN=NN4C)=C(N3C2=O)C(O)=O)C2=CC=C(O)C=C2)C(=O)C1=O,Cefoperazone,0.04,0.06,0,13.560167779801167,-1.4239823801629001,13.560167779801167,0.08230332674975749,0.14453824042940389,645.6800000000004,618.4640000000002,645.1424008240001,232,0,0.3521585022062475,-0.5079666200063164,0.5079666200063164,0.3521585022062475,1.1363636363636365,1.8636363636363635,2.5,1.314988682720993,1562.591958886522,31.706013344398027,23.36789447347065,25.000887635326098,21.010146808445516,13.270768282982518,15.30512163261666,9.842768230743822,11.890259377185506,7.1964784142041545,9.632983790878328,4.864559873263212,7.199481553646901,-4.65,5274769017.989464,30.796209802192134,12.527239969114575,5.786628970610092,257.5168409808026,25.74654172854455,28.904105617604397,0.0,11.063616211172214,5.907179729351506,23.81477925899293,28.97796819798824,14.270877303288827,0.0,16.860566757692155,23.894619086314336,40.61979754968984,38.18764841390849,0.0,38.98027789411234,59.15290861647817,0.0,45.54056133532005,7.04767198267719,29.53772815277599,31.139976431231304,41.09906360866854,0.0,5.749511833283905,10.633577208012662,4.794537184071822,5.749511833283905,23.52376989878223,123.3048677080328,31.020357903036295,0.0,18.52902952053558,40.69204859879225,0.0,0.0,0.0,220.25999999999996,53.0866931889606,38.98027789411234,0.0,41.60522266335546,22.174207148653025,4.899909730850478,57.37095083862433,13.971409182367815,0.0,26.159029207623437,0.0,1.437473615741065,2.486164774453064,80.13246326549657,35.64253364382253,0.5364822566735075,-4.26101369231694,1.8401577231498365,0.0,2.042543842673422,1.6431945703069608,0.4,44,4,17,0,3,3,1,1,2,13,4,19,9,0,2,2,5,-1.111999999999995,152.55299999999983,1,0,0,0,0,4,0,1,1,1,6,5,0,0,0,7,2,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1
13,Cefpirome,14,CO\N=C(/C(O)=N[C@H]1[C@H]2SCC(C[N+]3=CC=CC4=C3CCC4)=C(N2C1=O)C([O-])=O)C1=CSC(=N)N1,Cefpirome,0.2,0.02,0,13.008098282522884,-1.4065176454471187,13.008098282522884,0.05555716409612521,0.15032442930263906,514.5890000000003,492.4130000000003,514.1093098040001,182,0,0.2556209903383593,-0.5431907302580499,0.5431907302580499,0.2556209903383593,1.457142857142857,2.2857142857142856,3.0,1.4187384739831328,1360.0370840418861,24.689505486452976,18.685193241353467,20.318186403208916,16.884249150759292,10.880102900528218,12.80851050176377,8.234513371420402,10.21915868825724,6.167880506293157,8.184465295379658,4.633193847657428,6.52621942404302,-3.4499999999999997,104004812.94395787,23.29928440163713,9.302661849053349,4.140567180509154,207.51825625325944,24.829159078437076,12.483670354246273,34.99045645775485,5.897745344357611,5.907179729351506,0.0,15.103730520713821,4.992404732635669,4.567099647791355,23.098670827325854,5.15571272675054,18.90801031431363,34.756661090366585,17.360272595856145,29.20681738935304,46.584586191757516,5.409283605791522,9.883888251797686,10.14811745938621,37.222934916807304,12.862651148024323,56.7324944569833,0.0,0.0,14.475029696094133,0.0,0.0,23.098670827325854,62.75469580121108,33.81306260364487,5.409283605791522,23.372129104319928,45.127901781513515,0.0,0.0,0.0,158.14,29.18994400377766,19.802129157825057,0.0,16.21012696928861,23.564642537577093,30.599250746712766,35.02897170806458,5.380062770465915,12.263210640074686,25.765562696586382,10.246872189528155,2.0541884084879283,2.4853346694144,38.104147745622065,35.08440284795368,3.2010490910799643,-2.0996123371678026,3.0608030311083914,4.9466557479939315,0.3643495555196006,1.298681239987833,0.36363636363636365,35,3,11,1,2,3,0,2,2,9,3,13,7,0,1,1,5,-0.3732299999999981,125.70920000000007,1,1,1,0,0,2,1,0,1,1,2,2,0,0,1,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
14,Ceftizoxime,15,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)C1=CSC(N)=N1,Ceftizoxime,0.12,0.04,1,12.472505826404635,-1.1777690626806787,12.472505826404635,0.07193901236650135,0.34831831323821205,383.41100000000006,370.3070000000001,383.0358105160001,132,0,0.35183611247305696,-0.47656858019879705,0.47656858019879705,0.35183611247305696,1.56,2.32,2.92,1.7533409823028623,804.4853088773351,18.137463722575188,12.832202251917689,14.465195413773142,11.934759407976111,6.952195685630787,8.880603286866338,4.971238055925616,7.010569727267685,3.514257542916154,5.371770252675246,2.439877933130886,4.1823433300151,-2.6,444536.8897336221,17.23042192958882,6.721579519381717,3.0485336644006717,149.25397301894003,20.994572059745856,29.91647849129853,10.843243482610035,0.0,11.814359458703011,5.969305287951849,14.48898409899412,9.77851570501903,0.0,23.098670827325854,5.15571272675054,6.076020106833881,11.132916377212704,0.0,24.327727530792806,51.725579056590746,0.0,15.200676855804016,5.15571272675054,11.4157136421167,18.59631862518651,22.84705018520409,0.0,0.0,11.050456081168516,5.131558479839333,0.0,23.098670827325854,62.76413018620498,19.2212001359521,0.0,5.693927994848461,22.308834917106168,0.0,0.0,0.0,147.21000000000004,29.199378388771557,14.383611552215466,0.0,22.234210790514332,5.752853606746789,16.236695608785215,24.947702597502527,5.380062770465915,0.0,20.29406843544071,10.84019487200289,0.0,2.4940463067943224,45.7195419456678,16.67832739200049,5.601551627419615,-1.8904392007670328,-0.8485289115646257,1.467565610929608,0.0,1.2779352295198256,0.3076923076923077,25,4,10,0,2,2,0,1,1,9,3,12,5,0,1,1,3,-0.5557999999999992,90.81390000000002,1,0,0,1,0,1,0,0,1,1,3,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15,Chloroprocaine,16,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1Cl,Chloroprocaine,0.83,0.69,1,11.768955026455027,-0.4100406273620558,11.768955026455027,0.32207330771814946,0.6371230261185129,270.76,251.60799999999995,270.113505528,100,0,0.33919560113260006,-0.4606938353648011,0.4606938353648011,0.33919560113260006,1.3888888888888888,2.0555555555555554,2.611111111111111,2.5018470981397165,405.97775944629655,13.543605595440512,10.779502850941606,11.535431796960061,8.578917360319544,6.025511528294297,6.403476001303525,3.9020855800214562,4.309285706762062,2.7481538353829844,3.060862843871284,1.5819280340380755,1.8480619455237353,-1.2599999999999998,9090.685183217984,14.799737156511352,7.23570105512247,4.200044229274999,112.66405584392163,15.370440161812713,6.606881964512918,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,25.448414289613766,31.28861401720998,12.232142680596137,10.586084805438322,9.53140013787187,23.257631452867926,0.0,4.899909730850478,0.0,13.847474399381248,31.97481865941283,28.785186010823153,0.0,0.0,5.733667477162185,5.687386274683562,0.0,11.600939890232516,37.110366201052976,4.736862953800049,0.0,24.205463075150064,18.19910120538483,5.022633313741326,0.0,0.0,55.56,5.969305287951849,4.794537184071822,0.0,0.0,22.880353044634802,19.634269217737724,0.0,18.19910120538483,0.0,18.747384130231726,22.071470321194752,5.177064436885866,5.9291718981831405,13.947396122029058,0.32207330771814946,6.440047785974915,-0.4100406273620558,4.756758471907281,0.0,7.115306382441425,0.0,0.46153846153846156,18,2,4,0,0,0,1,0,1,4,1,5,6,0,0,0,1,2.4208,73.93490000000003,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,L-Leucine,17,CC(C)C[C@H](N)C(O)=O,L_Leucine,0.62,0.55,0,10.109768518518518,-0.9132407407407401,10.109768518518518,0.3574999999999998,0.5839472301812022,131.17499999999998,118.07099999999998,131.094628656,54,0,0.319977946620586,-0.48008631732626356,0.48008631732626356,0.319977946620586,1.6666666666666667,2.111111111111111,2.2222222222222223,3.5016884512730915,101.23098268032228,7.439157588755425,5.794619474719246,5.794619474719246,4.036581260209188,3.020936530217035,3.020936530217035,2.5742798507958478,2.5742798507958478,1.0425358217215752,1.0425358217215752,0.6086849374733664,0.6086849374733664,-0.5700000000000001,60.47184355343589,8.43,3.454517317421779,3.9683580080753695,54.859608149065075,10.84019487200289,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,13.847474399381248,12.338727669087403,0.0,0.0,9.901064578912528,5.969305287951849,0.0,0.0,11.651573523323577,26.31013685145522,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.117673511940517,4.794537184071822,5.917906046161393,20.268296022307258,0.0,0.0,0.0,0.0,63.32,12.011146117099809,4.794537184071822,0.0,0.0,12.338727669087403,0.0,0.0,0.0,13.847474399381248,0.0,10.84019487200289,0.0,0.0,10.109768518518518,8.30587962962963,5.21787037037037,-0.5557407407407403,-0.6898148148148151,0.5509259259259259,3.8944444444444444,0.0,0.8333333333333334,9,3,3,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0.44439999999999996,35.06619999999998,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Lidocaine,18,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,Lidocaine,0.91,0.96,0,11.89231859410431,0.06120370370370365,11.89231859410431,0.06120370370370365,0.8489671904749567,234.343,212.16699999999994,234.173213324,94,0,0.23806613187559775,-0.324484604945174,0.324484604945174,0.23806613187559775,1.1764705882352942,1.7058823529411764,2.176470588235294,2.680267656047493,363.55864155890856,12.836498814253964,11.208833037092342,11.208833037092342,8.078917360319544,6.164591332105107,6.164591332105107,4.276374970349688,4.276374970349688,3.007185260971884,3.007185260971884,1.8408792833076064,1.8408792833076064,-1.35,5511.135253173818,13.713897763578274,6.4012209135305955,3.858200815473424,103.82215798852502,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,9.694446914922299,0.0,0.0,0.0,32.046575604766076,38.06389019460039,5.687386274683562,6.544756405912575,4.794537184071822,11.594566004035068,0.0,4.899909730850478,0.0,27.694948798762496,24.951057821744055,29.32600418877882,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,30.44135867793971,4.794537184071822,13.847474399381248,24.974377382775238,18.19910120538483,0.0,0.0,0.0,32.34,0.0,4.794537184071822,0.0,5.907179729351506,6.544756405912575,29.903802069902703,0.0,0.0,32.046575604766076,24.064172734238056,0.0,0.0,0.0,13.9924574829932,2.9969907407407406,3.167083333333334,0.06120370370370365,6.032499685059208,0.0,10.416431720836485,0.0,0.5,17,1,3,0,0,0,1,0,1,2,1,3,5,0,0,0,1,2.5837400000000006,72.33370000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bupivacaine,19,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,Bupivacaine,0.73,0.91,1,12.69273478835979,0.04565381708238769,12.69273478835979,0.04565381708238769,0.8910127130247419,288.43500000000006,260.21099999999996,288.22016351599996,116,0,0.2412445175266546,-0.32423494936901764,0.32423494936901764,0.2412445175266546,1.2857142857142858,2.0,2.6666666666666665,2.065054948314816,463.856712264959,15.242276208189782,13.61461043102816,13.61461043102816,10.1302289553358,8.242825709114285,8.242825709114285,6.157161444194027,6.157161444194027,4.444516845696183,4.444516845696183,3.134886313422913,3.134886313422913,-1.35,57281.24375228437,16.02802883290633,7.599376898652427,4.068068371596222,128.27609529258223,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,9.694446914922299,0.0,0.0,0.0,37.964481650927475,57.326355063378415,5.687386274683562,6.041840829147961,4.794537184071822,11.594566004035068,0.0,4.899909730850478,0.0,58.91716054284987,18.406301415831482,29.32600418877882,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,29.938443101175096,4.794537184071822,13.847474399381248,50.15474829771466,18.19910120538483,0.0,0.0,0.0,32.34,0.0,4.794537184071822,0.0,11.949020558499466,0.0,42.74544531575472,19.26246486877803,0.0,6.06636706846161,43.120644070851895,0.0,0.0,0.0,15.06370701058201,3.1740077003023432,3.265787273242631,0.1696324640967497,6.189656214146202,5.721966308319573,8.41524302931049,0.0,0.6111111111111112,21,1,3,0,1,1,1,0,1,2,1,3,5,0,1,1,2,3.8965400000000026,88.66570000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Cimetidine,20,CN=C(NCCSCC1=C(C)N=CN1)NC#N,Cimetidine,0.3,0.38,1,8.427790304482674,0.5053896604938273,8.427790304482674,0.5053896604938273,0.23465880975452968,252.347,236.219,252.11571551199998,92,0,0.20394285225581243,-0.3547517477801282,0.3547517477801282,0.20394285225581243,1.7058823529411764,2.5294117647058822,3.1176470588235294,2.1309410302229006,405.1737761568005,12.510225400620904,9.948559689713006,10.765056270640732,8.274386907679233,5.199365063468043,6.354065601847294,3.2548795916956648,4.360051307218202,2.116869570291202,3.102468129944691,1.183426256772223,2.0705082322824624,-1.6800000000000002,8399.709922186494,13.38527415143603,7.570081043458362,4.7817848631942805,104.92554288214419,10.30076712495354,0.0,6.19315609577884,5.959554568743835,0.0,0.0,10.309193336642,4.9839785209472085,17.0237765041296,0.0,0.0,6.923737199690624,30.792063596931804,12.021248069613002,0.0,17.72143951813495,5.261891554738487,20.60153424990708,4.992404732635669,12.676590806437414,19.345281995336553,17.715176064461463,0.0,6.19315609577884,10.633577208012662,0.0,0.0,11.761884949391115,35.272793605974805,5.752853606746789,18.37878485020795,11.387855989696922,11.31972480740021,0.0,0.0,0.0,88.88999999999999,0.0,0.0,0.0,0.0,5.959554568743835,29.438319609103075,0.0,25.136877006832847,13.116893295469463,25.593938982542745,5.261891554738487,0.0,1.7962686602418743,11.122709967468264,13.927437780757135,2.210137058024414,2.354974647266314,0.0,3.5365808715461493,2.752511575809285,1.632712772219897,0.5,17,3,6,0,0,0,0,1,1,4,3,7,5,0,0,0,1,0.5973999999999998,69.59710000000001,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
20,Clavulanic acid,21,OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O,Clavulanic_acid,0.06,0.11,0,11.06953656462585,-1.138657407407407,11.06953656462585,0.14893518518518545,0.5513115228370621,199.16199999999998,190.08999999999995,199.048072388,76,0,0.33402396546260305,-0.4793629350864987,0.4793629350864987,0.33402396546260305,1.7142857142857142,2.4285714285714284,2.9285714285714284,2.2603804178727867,323.6933284343696,10.292528739883947,7.212650027833437,7.212650027833437,6.647065707741406,4.163989212407867,4.163989212407867,3.1074753979034617,3.1074753979034617,2.2936603233354185,2.2936603233354185,1.6590213821401194,1.6590213821401194,-1.56,1541.9906653911464,9.013093820861677,2.984456401438413,1.0734180056710771,79.3774710935529,14.94991774348146,5.759164871656176,12.26974199988283,5.907179729351506,0.0,5.969305287951849,9.694446914922299,4.794537184071822,0.0,0.0,0.0,6.076020106833881,0.0,13.027703587438928,24.538992111625106,11.876485017303356,0.0,4.899909730850478,0.0,18.690563622808842,6.606881964512918,11.835184978490057,0.0,0.0,0.0,0.0,0.0,0.0,45.86607350223099,14.325937321943691,0.0,6.4208216229260096,11.835184978490057,0.0,0.0,0.0,87.07,18.23904728783468,9.589074368143644,0.0,24.694048188446608,0.0,0.0,10.975929837684358,0.0,0.0,0.0,14.94991774348146,5.170462962962963,0.0,23.065870653817083,17.486090797430084,0.0,-1.2223705593348442,-1.0616666666666672,1.0260336356764925,-0.297754157218443,0.0,0.5,14,2,6,0,2,2,0,0,0,4,2,6,2,0,2,2,2,-1.0956000000000004,42.92860000000001,1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Cocaethylene,22,CCOC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,Cocaethylene,0.78,0.82,0,12.419707734945831,-0.4069850718065007,12.419707734945831,0.09849384815654627,0.797387625303995,317.385,294.201,317.16270821600006,124,0,0.33792158843871234,-0.4656193264086966,0.4656193264086966,0.33792158843871234,1.2173913043478262,1.9565217391304348,2.652173913043478,1.7819506824019689,573.6441344162724,16.396976746569035,13.604786304808236,13.604786304808236,11.113392202930195,8.260610697738773,8.260610697738773,6.287310080356809,6.287310080356809,5.040872526413272,5.040872526413272,3.8692759709071884,3.8692759709071884,-1.8799999999999994,214079.34579331742,15.994630332491234,6.705375387990387,3.1057447933630664,136.1090145145025,9.473725907600098,12.021872433909696,0.0,0.0,0.0,11.938610575903699,9.694446914922299,4.794537184071822,0.0,0.0,18.19910120538483,38.94578656514305,18.50450328122193,12.170333456209914,19.06280027574374,11.938610575903699,0.0,4.899909730850478,5.917906046161393,44.37385011451288,13.654553947190108,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,48.6807222999885,14.268263091671919,5.917906046161393,36.54419074423747,30.33183534230805,0.0,0.0,0.0,55.84,12.021872433909696,9.589074368143644,0.0,17.98045140505166,24.63299590828388,12.841643245852019,0.0,31.18920547353706,13.1140390511388,4.899909730850478,9.473725907600098,10.961112528344671,0.0,27.030441940665156,0.0,0.5151702517426728,-1.0178005060048707,9.389517850158633,2.2691545414462073,2.140303998333851,2.045432728647014,0.5555555555555556,23,0,5,0,2,2,1,0,1,5,0,5,4,0,2,2,3,2.2578000000000005,84.95850000000006,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
