,Compound,No.,SMILES,Name,CI-Obs.,CI-Cal.,Test,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,Abacavir,1,NC1=NC(NC2CC2)=C2N=CN([C@@H]3C[C@H](CO)C=C3)C2=N1,Abacavir,0.47,0.62,1,9.257136034727125,0.16224537037037035,9.257136034727125,0.16224537037037035,0.7272302824304793,286.339,268.19499999999994,286.154209196,110,0,0.2236130771664433,-0.39576253916630044,0.39576253916630044,0.2236130771664433,1.3333333333333333,2.1904761904761907,2.9047619047619047,1.7339568373952159,704.7972989715104,14.396976746569035,11.605946986573365,11.605946986573365,10.241514740667453,7.3010569432671355,7.3010569432671355,5.803680855058162,5.803680855058162,4.098384016973035,4.098384016973035,2.792124313647786,2.792124313647786,-2.1500000000000004,128289.44304880172,12.580123737360514,4.696423830473371,2.2293171590176106,121.45834382482487,20.724083123800575,0.0,16.98174071621902,5.948339280986494,0.0,0.0,0.0,4.9839785209472085,9.967957041894417,0.0,12.152040213667762,19.26246486877803,18.566628839822272,12.369160903912501,5.106527394840706,22.930079997205514,0.0,19.51903521063298,5.917906046161393,31.34614652707395,17.657338045681435,18.479360288432304,0.0,0.0,11.050456081168516,11.766202058821523,0.0,0.0,37.27428539913457,0.0,5.917906046161393,25.30430569792599,18.479360288432304,0.0,11.16387793838399,0.0,101.88,0.0,5.106527394840706,0.0,24.514968120808767,6.041840829147961,36.24420558499705,0.0,6.3273200747645415,10.643119754625236,26.344744273681837,5.733667477162185,2.0115192743764174,0.0,13.083932350718065,12.61571895863743,7.3497308830939785,1.1835306174939109,0.646315480138081,9.104055755018056,0.17186334719072827,0.0,0.5,21,4,7,2,0,2,0,2,2,7,3,7,4,1,0,1,4,1.0922999999999998,79.74990000000001,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Acipimox,2,CC1=CN=C(C=[N+]1[O-])C(=O)O,Acipimox,0.25,0.38,0,10.757592592592593,-1.1994444444444439,10.757592592592593,0.2448148148148146,0.4454944230878123,154.125,148.077,154.037842052,58,0,0.3603431918273656,-0.6184082801022331,0.6184082801022331,0.3603431918273656,1.8181818181818181,2.4545454545454546,2.909090909090909,3.1515496683060507,297.8789117242989,8.430721420318147,5.812837905806852,5.812837905806852,5.109060905280622,2.9012667730008723,2.9012667730008723,2.044868480423628,2.044868480423628,1.1967542140831404,1.1967542140831404,0.5765188806482684,0.5765188806482684,-1.65,271.8125711057006,7.456951871657753,2.531037747759121,1.4289504397924644,62.51458290069229,10.313780419617995,0.0,0.0,17.584699561309996,0.0,5.969305287951849,0.0,9.77851570501903,4.7304076419062255,0.0,0.0,0.0,6.923737199690624,6.196843571613076,14.631472220818752,5.969305287951849,0.0,4.9839785209472085,0.0,6.923737199690624,0.0,28.988796157700367,0.0,0.0,4.7304076419062255,0.0,0.0,0.0,16.059811203739763,0.0,12.130990224467915,16.182393173768745,12.393687143226153,0.0,0.0,0.0,77.13,5.969305287951849,10.001790208849112,0.0,5.693927994848461,10.424335636754687,6.196843571613076,6.196843571613076,6.923737199690624,0.0,4.9839785209472085,5.106527394840706,0.4687037037037036,0.0,13.767966742252456,19.143021541950112,0.12555555555555586,-1.1994444444444439,0.0,2.1469444444444443,1.5472524565381707,0.0,0.16666666666666666,11,1,5,0,0,0,0,1,1,3,1,5,1,0,0,0,1,-0.2783800000000001,34.893299999999996,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Acyclovir,3,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Acyclovir,0.17,0.09,1,11.375082120811287,-0.47948315591668744,11.375082120811287,0.029081658898127527,0.554385971786765,225.20799999999997,214.11999999999998,225.086189212,86,0,0.30212374580222656,-0.3939786739602512,0.3939786739602512,0.30212374580222656,1.625,2.4375,3.1875,2.3607877514506095,546.0876253223264,11.543605595440512,8.381371844866454,8.381371844866454,7.719545352812841,4.6134300515442845,4.6134300515442845,3.0997215153453896,3.0997215153453896,1.9747780908789903,1.9747780908789903,1.3067853805687544,1.3067853805687544,-1.93,5884.2277512654,10.5832429991603,4.289049481140565,1.8772308667996151,89.69516162363054,20.56103634675015,12.377993968267212,5.516700717616262,5.948339280986494,0.0,5.559266895052008,9.361636831863176,4.9839785209472085,4.9839785209472085,0.0,0.0,0.0,0.0,19.541084003790377,9.843390348640755,17.112217219370482,0.0,19.51903521063298,0.0,6.730816747499484,18.94743140618802,16.68112415388837,0.0,0.0,11.292934372214193,5.948339280986494,0.0,0.0,37.83932653449953,11.467679701299534,0.0,0.0,11.121857258836364,0.0,11.16387793838399,0.0,119.05,5.559266895052008,4.794537184071822,0.0,31.409620675128078,5.647177220767728,0.0,6.3273200747645415,4.567099647791355,0.0,14.951935562841626,15.57705782580294,6.678571428571429,0.0,21.524023447341897,8.558695856428992,5.603646017048795,0.029081658898127527,0.0,1.4454969765684051,0.32715128180901987,0.0,0.375,16,4,8,0,0,0,0,2,2,7,3,8,4,0,0,0,2,-1.3318,55.59890000000001,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Alanine,4,CC(N)C(O)=O,Alanine,0.3,0.4,1,9.574074074074074,-0.962962962962963,9.574074074074074,0.7314814814814821,0.4513521877377077,89.09399999999998,82.03799999999998,89.047678464,36,0,0.3196779563386595,-0.4800942338470611,0.4800942338470611,0.3196779563386595,2.0,2.1666666666666665,2.1666666666666665,3.2575861612334887,59.813537528125096,5.1547005383792515,3.5101624243430725,3.5101624243430725,2.6427344100918364,1.6270896800996826,1.6270896800996826,1.1269128025836794,1.1269128025836794,0.38952755606530876,0.38952755606530876,0.0,0.0,-0.5700000000000001,13.609640474436812,5.43,1.7676338396942162,1.7215451895043727,35.76478180587526,10.84019487200289,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,9.901064578912528,5.969305287951849,0.0,0.0,5.733667477162185,12.965578028838586,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.117673511940517,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,63.32,12.011146117099809,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,10.84019487200289,0.0,0.0,9.574074074074074,7.8657407407407405,4.835648148148148,-0.962962962962963,-0.7314814814814821,0.0,1.4189814814814814,0.0,0.6666666666666666,6,3,3,0,0,0,0,0,0,2,2,3,1,0,0,0,0,-0.5817999999999999,21.285200000000003,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alfentanil,5,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,Alfentanil,0.75,0.68,0,12.953414641442135,-0.3731364140008624,12.953414641442135,0.10595556350513236,0.6140453744926113,416.5260000000001,384.2700000000002,416.25358888399995,164,0,0.3631885678220014,-0.38223428814237637,0.38223428814237637,0.3631885678220014,1.1,1.7666666666666666,2.3333333333333335,1.7149304537136376,870.3669025403943,21.562267164498685,18.158738821018396,18.158738821018396,14.541172426285497,10.643455261625773,10.643455261625773,7.717611093089041,7.717611093089041,5.865487316820395,5.865487316820395,4.192938059317499,4.192938059317499,-2.5199999999999996,6839941.261245407,22.171635568303785,9.99169877502513,4.621561447169424,176.74152058584409,14.536682415501005,0.0,0.0,5.907179729351506,0.0,5.689743398203474,4.794537184071822,4.794537184071822,9.36360587029037,0.0,25.122838405075452,42.3248847737756,45.39703106253741,18.69056362280884,9.53140013787187,11.594566004035068,0.0,24.690285792450585,0.0,51.738377332367776,38.25085845437866,40.81611592458334,0.0,0.0,10.589653129053952,5.687386274683562,0.0,0.0,69.4873394977136,22.620912949697022,0.0,33.10993926815928,35.126372526379875,0.0,0.0,0.0,85.49000000000001,0.0,9.589074368143644,0.0,17.135848379938324,26.117216399264077,38.163298738273305,9.36360587029037,7.109797541277533,49.079219472539776,15.326679922160213,4.736862953800049,8.367462940850316,0.0,29.35031464117333,7.817631297942185,0.36724921128616406,0.10595556350513236,9.85337560315343,2.051710589194356,7.644642424889225,1.691657728005859,0.6190476190476191,30,0,9,0,1,1,1,1,2,8,0,9,9,0,1,1,3,1.3839000000000006,114.45600000000006,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,4-Aminohippuric acid(PAH),6,NC1=CC=C(C=C1)C(=O)NCC(O)=O,4_Aminohippuric_acid,0.47,0.41,0,11.245159674981103,-1.0751898043167885,11.245159674981103,0.38570460128495854,0.5940584768895216,194.18999999999997,184.10999999999996,194.06914218,74,0,0.3224805486405294,-0.47993032319709705,0.47993032319709705,0.3224805486405294,1.2857142857142858,1.8571428571428572,2.357142857142857,2.6082838277210323,345.5796288228963,10.55204176387779,7.357568303562362,7.357568303562362,6.592224152875016,3.9490042090411217,3.9490042090411217,2.6984245469767054,2.6984245469767054,1.5730435041163768,1.5730435041163768,0.8924477949575012,0.8924477949575012,-2.04,1264.5966706299876,10.04361204013378,4.268383741308158,2.779864720541118,80.53326029559109,16.156983476009223,6.544756405912575,0.0,0.0,5.907179729351506,5.969305287951849,9.589074368143644,0.0,0.0,0.0,0.0,24.26546827384644,11.250837766380558,0.0,14.69560176298435,17.563871291986917,0.0,5.316788604006331,0.0,0.0,12.27842388307476,29.828919765543436,0.0,0.0,11.050456081168516,5.687386274683562,0.0,0.0,23.527768818056636,4.794537184071822,0.0,10.357988675768818,24.26546827384644,0.0,0.0,0.0,92.42000000000002,11.876485017303356,9.589074368143644,0.0,6.544756405912575,11.250837766380558,0.0,12.13273413692322,12.13273413692322,0.0,5.316788604006331,10.84019487200289,0.0,0.0,21.399621966070377,10.557215818426135,6.367844414000168,-1.4988935080204917,6.226582577475433,0.0,-0.38570460128495854,0.0,0.1111111111111111,14,4,5,0,0,0,1,0,1,3,3,5,3,0,0,0,1,0.08319999999999972,50.82340000000001,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Amprenavir,7,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Amprenavir,0.38,0.39,1,13.395963453333582,-3.9041505849482934,13.395963453333582,0.012612122392063885,0.39974037477190066,505.63700000000034,470.3570000000003,505.22465683999997,192,0,0.40731069925118296,-0.4436915137280932,0.4436915137280932,0.40731069925118296,1.1714285714285715,1.8571428571428572,2.4571428571428573,1.7954909911935653,1040.6316495890258,25.424074484064484,20.169461389557146,20.985957970484872,16.645904176820626,11.77421669761384,13.214280026414482,9.183711000465616,11.121645980407283,5.705116055463028,7.5509785806795,3.8967004232692424,5.518242736398508,-2.6599999999999993,54709008.84829133,26.936267616072655,12.345732221204479,7.9265893890495,206.82012241368045,25.63070938360932,6.103966387748303,0.0,10.023291153407584,0.0,6.093240070938415,0.0,13.212334168400758,4.305215991296234,0.0,44.179309741689295,42.16764743463084,25.19772070943472,30.255054621439875,27.792587470841564,21.80391749902956,0.0,9.622004595302565,5.917906046161393,49.834374725395605,32.03694421801317,60.160755107851486,0.0,0.0,11.050456081168516,10.481923458755384,0.0,0.0,68.47583078689983,25.91783868393369,5.917906046161393,25.831747514004253,59.49278709167226,0.0,0.0,0.0,131.19,28.26233844124226,18.318861563241466,0.0,30.00686872125262,31.742793449561418,5.563451491696996,28.570684265142674,0.0,44.179309741689295,5.316788604006331,15.207393384762284,38.70962706778026,0.0,12.664772039088954,13.94139115117019,7.060044099337602,0.012612122392063885,14.550395659358156,-1.2853248381649833,4.667299950652718,-3.9041505849482934,0.48,35,4,9,0,1,1,2,0,2,7,3,10,11,0,1,1,3,2.4028,133.23270000000002,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Azidothymidine,8,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,Azidothymidine,0.29,0.15,1,11.70027415595868,-0.6706481481481485,11.70027415595868,0.26456065759637215,0.4454004294146897,267.245,254.14099999999996,267.096753896,102,0,0.32995848935617655,-0.3936655723867071,0.3936655723867071,0.32995848935617655,1.6842105263157894,2.4210526315789473,3.0526315789473686,2.3418569370217903,629.5425620141572,13.991199352633217,10.18442748802298,10.18442748802298,9.062080607913938,5.690837383582931,5.690837383582931,4.298380370431165,4.298380370431165,3.0401842974485507,3.0401842974485507,2.0380975383013538,2.0380975383013538,-2.09,22562.15968015893,13.344207765672458,5.268544354094518,2.525949955530779,106.62903730140096,9.843390348640755,6.22790117073487,0.0,0.0,5.559266895052008,5.689743398203474,14.345615352810384,4.794537184071822,0.0,0.0,5.114250125629398,12.454866198475877,23.092828333488544,18.75268918140918,9.843390348640755,0.0,0.0,9.551078168738563,5.114250125629398,31.718267210247767,6.606881964512918,43.041220370746906,0.0,0.0,11.24901029325548,0.0,0.0,0.0,33.410294744988455,4.736862953800049,6.923737199690624,18.212174285357875,20.900168065386115,0.0,10.442840646037716,0.0,133.07999999999998,29.622718680886617,9.589074368143644,0.0,13.027703587438928,5.563451491696996,0.0,10.763943219404432,6.923737199690624,0.0,15.009940293829068,15.374519347426006,6.692031368102797,0.0,27.83457096843686,12.671790412152514,7.755911625835418,0.0,-0.5424683484504917,0.32880149281934923,1.2593624811035524,0.0,0.6,19,2,9,0,1,1,0,1,1,6,2,9,3,0,1,1,2,-0.19628000000000012,64.60650000000003,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Betamethasone,9,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Betamethasone,0.41,0.44,0,16.85906328735198,-1.980464025888133,16.85906328735198,0.06755645313681047,0.667213496992105,392.4670000000002,363.2350000000001,392.19990224799994,154,0,0.18990619222686997,-0.3897124158559765,0.3897124158559765,0.18990619222686997,1.3214285714285714,2.0,2.642857142857143,1.83769187946728,804.7488254884713,20.698306133819763,16.613087630696945,16.613087630696945,12.963233394208578,10.142335326732525,10.142335326732525,9.749150873950827,9.749150873950827,8.79125320497435,8.79125320497435,7.26103317002553,7.26103317002553,-1.3700000000000003,1500075.6365228966,19.925309492060308,5.832747547893353,2.0142638085946416,163.87178561127467,15.319582184522117,12.207932775496605,17.235249711475557,0.0,0.0,0.0,9.589074368143644,4.39041504767482,0.0,0.0,25.496599036284397,56.594875997385216,16.747886984954953,6.103966387748303,29.299071600340582,11.566489892729878,0.0,0.0,28.583699077277743,63.82827510825357,6.606881964512918,23.80116485057091,0.0,0.0,0.0,4.39041504767482,0.0,0.0,50.866731059242575,9.589074368143644,28.583699077277743,46.454498090775914,23.80116485057091,0.0,0.0,0.0,94.83,52.42969695947186,24.90865655266576,4.39041504767482,18.121972615452343,24.835569398847298,0.0,12.152040213667762,26.847231705905752,0.0,0.0,0.0,16.85906328735198,0.0,24.380376536674213,31.96344205578165,-5.1691156987486355,-2.1191335745667015,0.0,4.439214381714833,4.479486345126001,0.0,0.7272727272727273,28,3,5,4,0,4,0,0,0,5,3,6,2,3,0,3,4,1.8957000000000002,99.94440000000004,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Biotin,10,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,Biotin,0.35,0.43,0,11.112311058299966,-0.7289005941882929,11.112311058299966,0.06404076908541168,0.49347811519219625,244.31600000000003,228.18799999999996,244.088163372,90,0,0.31493629272404566,-0.4812303897702795,0.4812303897702795,0.31493629272404566,1.4375,2.25,3.0,1.703040654393498,297.78872926636205,11.543605595440512,8.939543180393164,9.75603976132089,7.664703797946448,5.5702993905814635,6.61905418056212,4.26138125807225,5.53354678504816,3.0674294445664945,4.576068504965448,2.264757116766507,3.808346038947311,-0.9099999999999999,5794.178597307568,11.571752540962677,4.9476486864612665,2.6071993441328214,98.35218009520544,15.740104602853368,0.0,0.0,0.0,0.0,12.000419800289922,4.794537184071822,4.794537184071822,11.761884949391115,0.0,6.4208216229260096,12.841643245852019,17.423613259654974,12.083681658295921,14.69560176298435,23.762304749681036,0.0,10.633577208012662,0.0,43.01690617998213,5.752853606746789,0.0,0.0,0.0,10.633577208012662,4.794537184071822,0.0,11.761884949391115,40.19342049015551,4.794537184071822,0.0,25.683286491704038,0.0,0.0,0.0,0.0,78.43,5.969305287951849,9.589074368143644,0.0,24.535617793560004,5.249938029982174,25.01531847552482,0.0,0.0,11.761884949391115,10.633577208012662,5.106527394840706,0.0,1.8706235827664397,21.461060454663446,14.778325358303713,0.0,0.23638104161417628,0.43994239208028896,2.8803338372385983,0.0,0.0,0.8,16,3,5,0,2,2,0,0,0,3,3,6,5,0,2,2,2,0.7968000000000001,61.59320000000003,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
